"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality","drug"
-0.0284341597205345,-0.00987925382099267,0.00907846185156153,9,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0283830276610811,-0.00996091455029353,0.00837654033744986,10,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0282618102831613,-0.00999210931648576,0.0089027801166507,11,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0291927411132005,-0.0109700737695549,0.00772579946330985,12,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0275808183162521,-0.0096212168672805,0.00887208290343357,13,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0282184633906511,-0.0106203068598303,0.00822924020593964,14,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0289526190016777,-0.0104552446555794,0.00827838593172567,15,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0288232339419674,-0.00985707372515749,0.00987606257232602,16,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.02868614271782,-0.0101165230621127,0.00925366838313014,17,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0286983411859765,-0.00999940723757838,0.00921625680773881,18,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0284176953355643,-0.00996324685129201,0.00870011360239648,19,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0298022457163781,-0.011349917776368,0.00866013140663149,20,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.02880245808074,-0.0101930281923002,0.00910140528970339,21,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0289787731206886,-0.0109513391017103,0.00829266530050987,22,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0297289037677491,-0.011827191647453,0.00750931048488026,23,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0292401046625793,-0.00999151699638264,0.00915334804201945,24,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.0292965023158177,-0.0110955429429515,0.00820050449658248,25,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
-0.029792857411928,-0.0102414473252917,0.00826255820396222,26,"C_max_IC50_short",5,7,0.04,0,"sesonality1","A+B"
